TV,Radio,Newspaper,Sales
93.3,46.5,32.6,14.7
97.6,27.8,51.8,11.2
218.9,28.6,8.8,20.1
191.3,14.0,35.1,14.0
266.2,38.5,3.3,21.3
141.7,9.4,7.9,12.7
35.9,16.2,39.7,5.0
214.0,21.3,13.3,13.7
228.2,25.4,56.8,15.7
168.4,12.1,68.9,15.5
231.3,5.7,80.1,15.2
148.1,30.5,20.0,18.1
156.8,14.4,16.7,11.9
128.3,29.1,10.5,13.3
7.6,7.7,63.6,7.3
32.4,24.1,70.6,11.2
9.4,26.6,3.2,9.8
190.9,2.6,93.6,15.6
94.3,16.8,5.2,11.3
152.6,6.7,54.1,12.9
272.3,3.2,70.9,18.9
74.8,49.5,87.1,12.7
123.1,16.1,71.4,10.6
226.7,40.5,80.2,20.0
68.6,12.7,33.9,8.0
23.1,34.1,81.5,8.4
86.9,38.0,8.0,13.0
48.4,29.8,89.5,11.3
278.9,23.6,54.8,20.5
242.4,20.6,81.7,20.6
190.0,17.4,45.2,13.3
261.4,46.5,64.4,22.0
241.1,41.5,52.6,19.5
56.0,48.3,73.2,9.5
267.8,6.2,8.2,17.1
161.8,36.5,6.0,15.3
242.2,46.9,24.7,23.3
268.8,9.1,16.0,18.6
95.4,3.3,87.2,7.5
33.0,37.1,21.9,12.1
68.4,28.7,97.6,12.7
128.1,42.1,33.7,15.7
245.4,7.0,18.2,16.0
258.2,39.8,79.0,20.0
2.1,10.1,65.9,4.4
153.2,8.2,49.8,13.8
125.2,8.2,55.5,13.6
66.6,40.7,71.9,14.2
36.0,33.3,22.8,8.3
101.3,26.2,99.6,10.5
282.9,17.9,97.5,20.5
97.0,43.9,65.0,11.1
155.6,19.6,20.0,13.8
210.9,40.8,68.0,18.9
109.1,22.0,7.2,10.5
291.5,18.8,3.1,17.5
288.7,23.1,25.8,21.2
75.5,15.1,46.3,8.3
149.2,37.4,86.8,14.1
90.3,25.1,72.7,6.9
85.5,11.6,74.3,9.4
11.1,45.0,42.5,12.0
182.9,19.2,34.6,17.3
150.8,27.2,37.1,13.5
15.4,45.3,98.8,9.3
83.6,31.2,4.0,11.7
272.5,5.8,86.7,16.7
71.9,47.0,57.9,13.3
43.5,31.4,43.9,10.5
146.8,16.7,72.5,14.9
295.7,7.0,48.7,19.0
72.6,39.7,87.3,12.0
201.6,31.0,90.1,16.4
228.5,26.7,42.2,16.8
71.3,44.7,27.7,11.9
218.5,39.4,59.2,19.8
110.3,7.6,91.2,11.7
189.7,15.6,21.1,13.4
190.1,12.4,62.3,16.9
160.7,37.2,63.2,15.7
27.1,1.7,73.3,5.3
250.6,28.5,13.2,18.0
96.2,38.1,71.6,9.5
56.0,43.8,90.9,13.3
12.2,17.1,18.0,6.9
177.3,41.1,23.8,16.6
203.3,5.5,97.1,14.9
5.0,42.3,18.1,9.3
153.6,6.4,85.4,10.0
67.9,19.9,49.2,8.5
193.6,39.9,24.7,18.9
52.3,7.5,87.1,5.5
207.3,11.5,44.5,15.6
116.0,36.1,51.5,11.6
281.0,36.0,35.9,22.4
41.3,32.1,59.3,9.5
102.3,34.7,16.4,10.0
34.0,27.1,39.1,10.1
277.4,12.6,96.9,18.2
263.2,17.3,25.8,17.3
77.4,9.1,65.7,8.9
198.0,45.4,32.5,20.4
245.2,29.2,77.3,18.0
166.6,20.0,13.1,14.0
158.9,23.1,97.0,15.3
72.6,47.4,45.4,13.8
27.9,7.7,23.6,5.8
269.2,29.3,7.3,19.5
270.1,25.3,17.0,18.5
189.9,30.6,52.0,16.8
101.7,0.9,33.7,6.9
104.8,43.6,82.9,9.9
217.8,46.6,43.1,20.6
269.1,28.3,24.9,21.5
266.1,34.8,61.7,17.6
234.0,46.1,70.7,19.4
192.6,35.4,16.7,18.0
25.2,7.6,16.8,8.4
48.5,28.8,3.7,8.9
269.6,30.3,73.6,19.8
181.9,21.2,66.4,15.0
2.8,36.8,47.5,10.1
30.4,46.7,84.4,10.0
199.1,46.3,80.6,18.1
1.5,22.5,58.5,5.6
48.2,5.7,86.8,5.5
164.6,49.2,20.6,17.5
207.6,41.9,11.2,21.0
195.6,6.2,27.0,14.3
67.3,46.0,5.7,11.6
213.7,43.5,53.1,19.0
71.2,25.9,93.7,8.3
97.6,29.6,3.9,12.8
223.9,20.0,12.2,16.6
194.9,2.7,45.2,13.3
254.8,16.8,93.4,23.5
197.3,40.1,31.6,18.4
170.5,0.2,50.7,10.9
28.1,16.7,4.2,5.8
110.3,19.9,14.8,12.8
79.6,26.9,98.7,11.4
73.2,46.0,96.5,11.0
291.9,17.3,0.5,21.1
117.9,17.3,95.2,10.9
267.6,36.9,63.9,24.3
189.3,22.6,86.8,17.7
238.4,11.2,45.5,16.0
150.8,22.6,51.6,15.7
173.1,7.0,48.9,13.1
147.8,8.8,66.7,13.4
58.6,24.9,14.0,9.8
216.7,20.9,3.0,15.1
84.2,45.7,30.8,12.0
7.3,18.1,70.5,7.8
193.6,29.0,20.2,15.9
53.1,31.6,67.3,9.5
282.1,0.7,97.0,16.7
286.2,33.2,9.4,22.0
274.5,8.9,67.3,21.6
111.0,48.1,44.4,13.2
4.6,7.4,86.8,5.0
278.5,20.7,17.7,21.7
128.5,4.3,69.3,10.5
290.0,49.8,83.8,25.0
289.1,25.1,94.5,19.8
255.9,29.8,68.3,20.7
88.3,3.4,49.7,8.0
115.5,37.5,61.8,15.4
255.3,10.5,86.9,19.7
95.1,44.9,57.1,17.6
50.8,10.3,3.0,7.7
167.0,9.5,93.1,13.9
280.8,1.8,69.0,18.2
208.8,23.6,67.7,16.4
171.0,28.2,21.6,15.7
29.2,3.3,65.9,5.1
184.5,38.8,39.4,17.5
297.0,22.7,65.1,23.2
42.0,26.2,10.7,6.8
155.5,22.0,65.8,15.8
263.2,20.0,99.9,21.5
222.2,28.0,4.8,17.3
209.1,7.8,97.7,12.2
210.7,9.1,40.7,14.1
107.8,43.1,87.1,16.4
88.1,47.3,78.2,13.8
242.8,18.7,56.7,16.5
243.0,13.5,73.8,16.8
260.1,32.2,87.9,22.0
274.0,20.4,40.4,20.4
153.4,1.3,32.7,10.8
150.5,7.8,66.8,11.6
239.5,35.8,80.8,19.5
195.0,32.9,76.2,16.1
210.6,1.4,79.8,16.9
238.7,11.1,43.6,16.2
267.0,11.6,81.8,20.4
101.4,33.6,12.0,14.5
112.7,1.0,54.4,10.8
28.2,5.2,0.6,4.4
173.5,40.0,32.5,17.4
10.8,8.9,36.6,4.9
139.7,32.6,39.6,12.9
162.8,11.9,69.5,13.7
86.0,5.0,38.9,6.5
177.2,12.2,44.9,15.6
9.2,36.1,23.8,7.3
11.2,42.8,37.3,9.4
246.8,41.5,22.7,21.0
108.1,19.9,7.3,10.5
38.1,33.4,60.3,10.4
156.7,10.2,66.8,12.0
231.0,14.7,61.9,18.2
64.7,44.8,46.3,10.1
186.9,0.7,38.0,13.0
25.6,4.3,86.3,8.6
15.5,10.4,51.9,4.0
159.4,1.3,47.9,10.6
162.2,9.1,2.6,13.0
191.2,29.2,34.1,16.7
217.8,21.1,38.0,17.3
292.8,44.6,39.9,24.1
154.9,40.9,58.0,17.2
96.9,17.1,53.4,12.1
238.6,13.0,60.8,17.7
81.2,19.0,76.5,9.7
131.7,29.5,81.3,14.9
23.5,13.4,71.8,9.4
7.6,31.2,95.6,7.9
288.8,20.5,1.8,18.5
250.8,27.6,19.6,20.7
208.8,21.8,0.8,15.9
122.7,14.7,64.7,8.3
52.0,47.4,89.8,13.5
46.9,38.2,24.3,9.4
75.1,7.0,92.7,8.4
164.8,43.4,6.0,17.0
214.4,24.4,93.4,17.9
198.1,44.7,35.2,19.7
84.0,40.0,10.1,11.4
286.5,21.3,48.6,21.1
221.4,1.1,25.7,14.1
166.3,13.4,28.5,14.3
183.5,27.1,30.7,16.7
125.9,31.7,80.3,12.5
74.3,12.9,53.9,10.4
106.8,7.0,31.1,8.7
227.4,41.7,61.0,21.2
4.3,49.2,71.6,10.4
34.8,26.3,27.3,10.9
13.8,8.6,41.4,4.8
12.2,13.6,12.2,4.8
256.6,0.9,18.1,16.1
211.1,45.7,68.1,19.3
142.3,5.9,18.1,12.2
29.4,28.8,52.5,6.0
147.5,13.7,70.9,11.1
142.0,27.7,10.7,11.9
52.0,32.6,56.7,11.5
130.2,41.5,25.7,17.3
119.6,10.3,96.3,11.0
184.8,0.5,48.4,12.5
190.5,6.8,80.6,14.3
13.6,45.0,55.0,11.4
112.4,43.7,4.3,12.5
187.8,29.9,63.3,17.0
150.9,30.0,95.1,16.6
256.9,33.3,60.2,21.2
197.6,8.8,81.9,15.0
48.9,45.7,88.4,13.3
21.2,20.9,22.8,2.7
192.7,19.2,21.2,16.2
8.0,25.9,61.1,6.1
175.7,2.3,41.1,9.7
282.1,8.3,84.0,19.7
172.6,36.9,90.0,19.0
116.5,4.1,35.3,9.5
193.0,30.2,23.7,17.9
137.5,12.3,78.1,14.6
163.7,19.5,27.5,15.8
282.4,14.4,82.3,22.1
115.8,17.8,42.4,12.5
288.4,36.0,66.8,22.5
271.6,14.9,9.6,16.1
58.7,28.3,62.4,9.6
20.8,23.8,45.2,6.1
30.2,33.2,58.7,12.3
5.5,46.8,16.8,8.8
28.3,36.6,73.7,9.7
204.9,10.7,86.3,16.2
21.4,1.6,21.7,4.5
95.7,13.1,9.6,12.0
253.5,29.8,2.4,18.3
7.0,2.6,64.2,4.6
244.3,24.8,60.7,17.7
84.6,29.8,54.7,9.4
35.4,16.7,23.2,6.1
209.0,38.5,39.1,18.4
188.7,5.3,59.4,13.0
263.2,3.8,49.7,16.1
220.5,36.4,98.8,17.3
241.0,24.8,13.6,18.0
84.6,34.4,69.5,9.8
53.2,21.7,40.4,9.8
225.2,12.3,42.8,16.3
242.1,41.0,71.8,18.6
297.2,40.0,69.2,22.9
123.8,34.7,99.1,13.2
111.6,13.6,12.8,10.8
232.9,29.5,10.4,20.3
102.2,18.0,72.4,8.2
279.2,4.6,57.8,18.3
257.5,45.9,27.4,21.4
128.7,6.8,7.9,11.3
225.3,47.5,8.6,20.4
226.4,22.3,89.4,16.8
30.9,9.3,19.2,5.4
270.8,27.1,32.3,18.9
151.6,43.6,22.7,17.7
247.9,36.6,35.5,20.2
96.0,40.3,6.9,15.6
268.7,32.9,51.9,20.8
116.8,34.6,6.8,12.0
3.3,42.5,80.0,6.8
271.6,12.5,23.4,15.6
27.4,24.5,54.0,5.5
95.8,11.1,88.0,10.4
285.0,49.4,65.1,24.6
285.2,47.2,53.3,21.1
172.0,2.0,32.4,13.5
189.6,35.3,33.3,16.3
134.5,46.3,66.9,16.2
88.0,9.0,99.4,11.9
98.6,28.4,66.2,13.3
201.8,45.8,55.8,18.7
225.7,1.7,73.1,13.9
237.5,34.9,46.5,16.3
236.9,14.9,6.0,15.6
27.4,46.2,56.2,10.2
148.3,48.6,95.8,15.7
17.3,47.2,17.5,9.5
164.9,23.7,69.0,14.9
132.5,43.1,20.1,14.7
266.3,42.2,53.6,20.9
105.3,16.0,9.7,10.5
35.1,41.4,45.0,10.8
42.9,1.9,75.6,4.5
228.5,29.8,34.8,20.5
185.5,11.5,66.5,14.2
30.3,6.0,79.5,6.1
25.2,3.8,92.7,6.7
210.3,34.8,23.5,18.3
21.8,17.0,39.9,8.0
246.6,36.2,15.2,20.3
211.9,3.3,99.2,14.1
24.4,15.8,92.7,7.6
25.5,27.0,54.0,6.3
296.0,39.5,84.2,23.5
112.3,15.9,52.1,11.0
111.2,31.3,62.4,12.6
243.8,44.3,8.9,20.4
284.2,30.8,75.5,18.8
295.8,11.6,12.8,18.5
226.0,1.2,82.6,15.4
112.9,43.5,78.2,14.9
25.1,1.1,70.9,3.6
233.1,43.7,3.6,21.8
167.5,26.4,30.3,13.5
127.3,47.0,26.3,16.7
271.9,39.9,36.0,22.4
33.4,49.9,8.8,9.8
147.8,17.5,93.7,16.1
3.4,38.4,55.4,6.5
140.6,20.1,30.6,14.1
16.9,24.0,39.7,8.6
35.6,31.4,44.7,8.0
35.3,43.7,60.1,12.7
194.8,49.2,51.6,18.8
223.8,38.4,91.9,20.2
175.0,20.9,49.7,15.1
288.7,21.1,99.2,20.8
112.5,36.9,85.1,15.1
85.7,11.9,20.9,10.1
260.6,5.5,93.1,15.0
67.1,17.7,11.6,10.6
289.0,14.4,81.7,17.5
3.6,14.8,38.1,6.9
291.0,11.7,87.8,21.5
12.9,2.1,86.8,3.1
267.3,0.9,80.6,16.7
158.3,49.4,79.0,16.0
297.9,21.4,30.5,20.4
22.1,19.2,8.1,6.0
166.2,34.0,40.3,17.0
290.8,10.9,17.4,21.0
156.9,47.5,69.5,19.3
188.8,39.3,34.6,16.7
208.7,4.5,97.6,14.6
136.4,20.9,64.1,10.4
188.3,44.0,82.2,17.3
175.3,47.2,13.3,19.0
270.3,23.4,86.2,22.6
13.6,30.7,92.3,6.4
84.3,8.4,48.7,7.8
285.1,49.6,60.6,23.8
267.1,11.6,76.5,18.9
136.7,47.1,17.5,14.4
186.0,32.5,50.3,17.3
83.2,30.4,39.9,10.5
56.4,25.6,14.6,9.0
139.1,11.5,36.8,12.5
106.0,8.8,6.8,9.4
175.1,11.0,2.6,12.4
23.3,9.3,13.5,5.3
292.3,39.0,96.3,23.1
295.9,17.5,55.0,19.9
209.4,2.9,96.6,14.4
160.8,48.5,43.2,19.7
92.9,44.2,31.2,14.1
244.1,46.4,50.6,20.8
205.4,49.7,44.0,20.7
48.8,8.7,10.6,6.1
273.3,19.8,64.1,21.4
246.8,37.9,21.6,20.7
284.9,34.8,62.0,21.9
217.7,7.7,65.0,16.1
184.0,40.8,15.2,14.9
125.5,11.2,6.1,9.0
279.8,11.2,78.1,17.3
259.8,26.8,46.0,19.9
13.6,29.6,5.8,9.9
7.9,29.0,99.5,11.2
112.9,4.6,5.8,10.2
243.2,43.9,69.5,21.9
296.2,13.3,98.4,17.7
45.1,6.5,23.9,5.5
178.2,44.4,14.2,16.2
114.3,47.8,12.1,13.6
291.0,43.1,30.3,22.8
252.6,40.5,10.1,19.9
251.5,32.8,69.2,17.2
140.6,27.5,6.2,14.5
124.4,4.3,50.9,8.6
82.0,20.4,99.7,10.9
16.9,18.6,81.4,10.0
259.4,13.0,61.5,16.8
243.9,36.2,30.6,16.0
299.9,24.8,62.4,21.2
299.0,4.1,52.7,20.6
166.6,11.0,42.6,16.0
230.7,34.2,13.1,16.9
283.4,3.8,88.7,19.3
254.9,42.6,45.0,20.6
74.2,24.8,19.5,9.7
135.2,24.0,36.8,17.0
38.7,29.6,41.4,6.6
286.2,41.2,82.8,23.5
181.9,17.4,73.4,15.6
68.6,33.9,76.9,12.9
201.5,28.3,1.1,16.6
185.4,13.4,41.6,14.8
107.4,43.9,48.1,13.5
34.1,39.9,1.9,9.9
201.5,32.9,26.0,16.8
156.1,42.5,76.0,17.6
231.7,43.4,13.7,19.4
156.0,35.4,53.5,16.1
255.7,41.9,21.5,21.0
165.6,34.9,1.2,17.2
168.3,34.0,24.1,15.7
263.0,30.9,97.6,18.2
121.0,37.6,80.2,16.3
40.2,7.9,96.0,5.6
8.6,44.0,48.8,8.2
226.5,43.6,11.0,18.8
186.1,1.5,54.8,15.1
211.2,41.3,45.4,15.8
63.9,6.4,84.4,12.5
40.9,16.8,9.8,8.7
4.4,37.2,48.8,8.5
105.2,8.0,15.0,9.3
177.0,40.9,32.5,17.5
117.7,41.6,73.7,15.4
131.2,25.4,47.6,14.1
271.2,0.3,37.6,17.8
104.5,14.4,39.4,10.5
154.2,30.8,45.9,14.6
235.1,49.1,78.5,21.2
119.0,31.6,89.2,13.3
186.6,13.0,95.5,16.5
258.7,31.7,78.7,21.4
284.9,27.0,31.5,16.4
44.1,39.0,68.8,11.6
278.0,5.3,43.8,18.3
147.6,38.1,25.5,15.2
77.5,27.1,84.1,10.4
137.7,48.1,3.8,17.4
294.0,17.1,90.2,22.1
147.8,31.6,46.1,13.5
98.6,46.6,63.7,14.8
190.0,5.1,65.9,12.3
72.0,46.9,89.5,11.1
22.8,34.4,63.7,8.0
38.7,3.4,61.4,7.3
38.4,15.0,6.7,8.2
45.6,35.4,51.8,10.8
41.6,3.4,15.0,6.7
192.3,29.1,73.7,17.6
54.6,17.3,51.2,7.4
103.7,31.0,68.0,13.2
269.0,2.3,4.2,18.0
142.2,43.6,8.5,16.6
200.3,48.7,71.6,21.4
51.7,48.4,7.2,12.5
57.7,37.5,7.1,11.0
12.3,6.5,1.2,6.0
